"Code","Acanthistius_ocellatus","Acanthopagrus_australis","Achoerodus_viridis","Anampses_caeruleopunctatus","Anampses_neoguinaicus","Apogon_limenus","Atractoscion_atelodus","Atypichthys_strigatus","Austrolabrus_maculatus","Bodianus_frenchii","Bodianus_perditio","Brachaelurus_waddi","Canthigaster_callisterna","Caranx_melampygus","Caranx_sexfasciatus","Carcharias_taurus","Centropogon_australis","Chaetodon_flavirostris","Chaetodon_guentheri","Chelmonops_truncatus","Choerodon_venustus","Chromis_hypsilepis","Chromis_weberi","Chrysophrys_auratus","Cirrhilabrus_punctatus","Cirrhitichthys_aprinus","Coris_aygula","Coris_dorsomacula","Coris_picta","Dasyatis_brevicaudata","Dasyatis_thetidis","Dicotylichthys_punctulatus","Dinolestes_lewini","Echeneis_naucrates","Enoplosus_armatus","Epinephelus_cyanopodus","Epinephelus_daemelii","Epinephelus_fasciatus","Epinephelus_undulatostriatus","Eubalichthys_mosaicus","Eupetrichthys_angustipes","Girella_elevata","Glaucosoma_scapulare","Gnathanodon_speciosus","Goniistius_vestitus","Gymnothorax_prasinus","Gymnothorax_prionodon","Gymnothorax_thyrsoidea","Halichoeres_nebulosus","Heniochus_acuminatus","Hypoplectrodes_maccullochi","Kyphosus_sydneyanus","Labroides_dimidiatus","Lutjanus_adetii","Lutjanus_fulviflamma","Lutjanus_russellii","Mecaenichthys_immaculatus","Meuschenia_freycineti","Meuschenia_scaber","Meuschenia_trachylepis","Microcanthus_strigatus","Morwong_fuscus","Myliobatis_australis","Nelusetta_ayraud","Nemadactylus_douglasii","Notolabrus_gymnogenis","Ophthalmolepis_lineolata","Orectolobus_halei","Orectolobus_maculatus","Paracaesio_xanthura","Parapercis_ramsayi","Parapercis_stricticeps","Paraplesiops_bleekeri","Parma_unifasciata","Parupeneus_multifasciatus","Parupeneus_spilurus","Pempheris_affinis","Pempheris_compressa","Plagiotremus_tapeinosoma","Pomacentrus_coelestis","Prionurus_maculatus","Prionurus_microlepidotus","Pseudocaranx_dentex","Pseudolabrus_guentheri","Pseudolabrus_luculentus","Pterocaesio_digramma","Rachycentron_canadum","Rhabdosargus_sarba","Sarda_australis","Schuettea_scalaripinnis","Scorpaena_cardinalis","Scorpis_lineolata","Seriola_dumerili","Seriola_hippos","Seriola_lalandi","Seriola_rivoliana","Seriolina_nigrofasciata","Siganus_fuscescens","Synodus_jaculum","Thalassoma_lunare","Thalassoma_lutescens","Trachinops_taeniatus","Trachurus_novaezelandiae","Trachypoma_macracanthus","Upeneichthys_lineatus","Zanclus_cornutus"
"40AcresN_2013",4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,9,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,2,3,2,0,0,0,0,6,0,1,0,1,0,0,0,2,6,0,0,1,0,0,5,0,3,56,0,3,0,0,0,0,0,3,5,20,0,0,0,0
"40AcresN_2014",0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,1,0,0,5,0,2,7,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,52,4,1,0,0,0,0,0,0,0,72,1,1,0,0,0,0,0,3,3,0,0,0,0,0
"40AcresN_2015",1,0,0,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,15,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,8,0,2,3,1,0,0,0,41,0,2,0,0,0,0,0,0,1,19,5,1,2,0,0,0,0,6,5,5,0,0,0,0
"40AcresN_2018",2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,5,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,3,0,14,0,1,0,9,0,3,0,0,0,0,0,25,0,2,1,20,0,0,0,0,2,37,0,1,2,0,0,0,0,3,1,10,0,0,0,0
"40AcresW_2002",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,0,4,0,2,0,0,0,0,0,41,0,1,0,0,0,0,0,0,5,53,0,1,0,2,0,0,0,2,1,0,0,0,0,0
"40AcresW_2003",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,1,2,0,0,0,0,3,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"40AcresW_2004",3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,7,0,2,0,0,0,0,0,8,0,1,0,0,0,0,0,0,6,111,0,0,0,0,0,0,0,0,2,10,0,0,0,0
"40AcresW_2005",0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,2,0,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,4,13,0,1,0,11,0,1,0,1,0,25,0,0,0,0
"40AcresW_2006",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,6,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,4,54,0,0,0,3,0,0,0,2,1,0,0,0,0,0
"40AcresW_2007",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,0,0,0,2,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
